trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,4,-26.284880249412808,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,10,2.768770059268224,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,6,-33.56572534517033,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,2,6.034082218006935,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,11,3.966727706102564,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,0,-143.94198222149788,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,10,7.698458342424828,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,6,-32.0734150696346,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,-8.681443747511423,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",25,0,15.098108063995156,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,0,-45.680293191992675,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,18,16.395632735777475,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,4,15.90428138886448,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",30,2,-30.122673267655536,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,8,20.965040919415966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,12,15.66973208491947,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,11,-11.8523963693115,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,13,-27.2764157438112,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,14,4.894390892105118,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",30,10,3.429078114283505,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,10,8.596750262394156,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3362164937067333}",35,9,-28.2010661403878,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,8,-42.948769098039875,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",30,19,19.39631693520263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
